game_id,team1_id,team2_id,map,winner_id,w_score,l_score
10099,103,102,Pearl,102,13,9
10100,107,104,Haven,107,13,9
10101,107,104,Lotus,107,13,10
10102,108,106,Lotus,108,13,11
10103,108,106,Bind,108,13,4
10104,109,105,Bind,105,13,9
10105,109,105,Pearl,105,13,11
10106,103,110,Fracture,103,13,8
10107,103,110,Ascent,110,13,11
10108,103,110,Lotus,103,13,7
10109,102,107,Haven,107,13,9
10110,102,107,Split,102,13,5
10111,102,107,Bind,102,13,4
10112,105,103,Lotus,105,13,10
10113,105,103,Fracture,105,13,10
10114,107,110,Ascent,107,13,8
10115,107,110,Haven,110,13,8
10116,107,110,Split,110,14,12
10117,103,101,Haven,103,13,10
10118,103,101,Bind,101,14,12
10119,103,101,Fracture,103,13,10
10120,102,105,Fracture,105,13,5
10121,102,105,Bind,105,13,6
10122,103,110,Fracture,103,13,10
10123,103,110,Ascent,103,13,10
10124,102,103,Ascent,103,13,11
10125,102,103,Fracture,102,13,11
10126,102,103,Haven,102,13,11
10127,102,103,Bind,103,13,6
10128,102,103,Pearl,102,13,9
10129,105,102,Fracture,102,13,6
10130,105,102,Ascent,102,16,14
10131,105,102,Pearl,105,13,8
10132,105,102,Bind,105,13,6
10133,105,102,Lotus,105,13,3
10134,111,112,Ascent,111,13,7
10135,111,112,Lotus,111,20,18
10136,113,114,Icebox,113,13,3
10137,113,114,Split,113,13,11
10138,115,116,Pearl,116,13,4
10139,115,116,Lotus,116,13,9
10140,117,118,Haven,118,13,6
10141,117,118,Fracture,117,13,2
10142,117,118,Lotus,118,13,10
10143,112,114,Icebox,114,17,15
10144,112,114,Split,112,15,13
10145,112,114,Pearl,112,13,7
10146,119,120,Icebox,119,19,17
10147,119,120,Split,119,13,11
10148,117,116,Lotus,116,13,10
10149,117,116,Split,117,13,6
10150,117,116,Ascent,117,13,6
10151,111,118,Split,118,13,9
10152,111,118,Fracture,118,15,13
10153,113,120,Ascent,120,13,6
10154,113,120,Haven,113,13,9
10155,113,120,Split,113,13,11
10156,115,119,Icebox,115,13,5
10157,115,119,Split,115,13,2
10158,118,116,Lotus,116,13,4
10159,118,116,Haven,116,13,10
10160,112,120,Ascent,112,13,10
10161,112,120,Fracture,112,13,8
10162,113,115,Icebox,113,13,3
10163,113,115,Ascent,113,13,6
10164,117,119,Ascent,117,13,5
10165,117,119,Split,117,13,2
10166,111,114,Lotus,114,13,1
10167,111,114,Ascent,114,13,11
10168,112,115,Pearl,112,13,3
10169,112,115,Lotus,115,13,9
10170,112,115,Ascent,112,13,2
10171,111,116,Ascent,116,13,9
10172,117,113,Lotus,113,13,6
10173,117,113,Haven,113,13,6
10174,114,120,Icebox,114,13,10
10175,114,120,Split,114,13,3
10176,118,119,Ascent,118,13,2
10177,118,119,Split,118,13,6
10178,115,117,Split,117,13,8
10179,115,117,Fracture,117,17,15
10180,116,114,Icebox,114,13,5
10181,116,114,Split,114,13,11
10182,119,112,Ascent,112,13,11
10183,119,112,Lotus,112,13,7
10184,120,118,Ascent,120,13,8
10185,120,118,Haven,120,13,9
10186,114,117,Ascent,114,13,11
10187,114,117,Icebox,117,13,11
10188,114,117,Lotus,117,13,10
10189,120,115,Haven,120,14,12
10190,120,115,Lotus,115,13,10
10191,120,115,Icebox,120,13,2
10192,111,119,Lotus,119,13,6
10193,111,119,Ascent,111,13,8
10194,111,119,Haven,119,13,11
10195,116,113,Icebox,113,13,5
10196,116,113,Lotus,113,13,5
10197,118,112,Split,112,13,10
10198,118,112,Fracture,112,13,10
10199,118,113,Haven,113,14,12
10200,118,113,Bind,113,13,8
10201,116,119,Haven,116,13,8
10202,116,119,Ascent,116,13,5
10203,111,120,Pearl,111,13,3
10204,111,120,Ascent,120,13,4
10205,111,120,Bind,120,13,5
10206,112,117,Fracture,112,13,11
10207,112,117,Bind,112,13,11
10208,114,115,Pearl,115,13,9
10209,114,115,Lotus,115,16,14
10210,111,113,Lotus,113,13,4
10211,111,113,Ascent,113,13,9
10212,114,118,Lotus,114,13,6
10213,114,118,Split,118,13,10
10214,114,118,Ascent,114,13,10
10215,116,112,Lotus,112,13,9
10216,119,113,Haven,113,13,2
10217,119,113,Lotus,113,13,10
10218,120,117,Ascent,120,13,7
10219,120,117,Bind,117,13,7
10220,111,115,Fracture,111,13,7
10221,111,115,Lotus,115,13,9
10222,111,115,Ascent,111,13,11
10223,113,112,Lotus,113,13,9
10224,113,112,Split,113,13,8
10225,115,118,Haven,118,13,10
